Fylke,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Ukjent,rep_date,sequence_id,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8
Agder,0,10,48,59,68,73,31,27,20,0,2020-05-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,10,48,60,68,73,31,27,20,0,2020-05-16,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-18,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-28,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-05-30,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-06-01,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-06-02,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-06-03,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,11,48,60,68,73,31,27,20,0,2020-06-04,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,49,60,68,74,31,27,20,0,2020-06-05,17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Agder,0,12,50,60,68,74,31,27,20,0,2020-06-07,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,68,74,31,27,20,0,2020-06-08,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,68,74,31,27,20,0,2020-06-09,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,68,74,31,27,20,0,2020-06-10,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-11,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-12,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-14,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-15,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-16,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,50,60,69,74,31,27,20,0,2020-06-17,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,51,60,69,74,31,27,20,0,2020-06-18,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-19,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-21,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-22,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-23,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-24,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-25,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-27,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-28,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-29,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,52,60,69,75,31,27,20,0,2020-06-30,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,61,69,75,31,27,20,0,2020-07-02,40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,61,70,75,31,27,20,0,2020-07-03,41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Agder,0,12,53,61,70,75,31,27,20,0,2020-07-04,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,61,70,75,31,27,20,0,2020-07-06,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,61,70,75,31,27,20,0,2020-07-07,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,60,70,75,31,27,20,0,2020-07-09,45,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,53,60,70,75,31,27,20,0,2020-07-10,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,54,60,70,75,31,27,20,0,2020-07-11,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,54,60,70,75,31,27,20,0,2020-07-13,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,54,60,70,75,31,27,20,0,2020-07-14,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agder,0,12,55,60,71,75,31,27,20,0,2020-07-15,50,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Agder,0,12,55,60,71,75,31,27,20,0,2020-07-16,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
